5.8558116,4585.1006,36.77
5.8223624,4558.9097,35.26
5.5982757,4383.4497,14.68
5.5549555,4349.5303,17.36
5.5563855,4350.65,36.02
6.1363473,4804.76,33.59
5.938059,4649.5,31.25
6.0132055,4708.34,23.89
6.5715327,5145.5103,31.0
11.10894,8698.3,48.32
16.216105,12697.21,45.81
18.366604,14381.051,50.83
21.457077,16800.89,48.32
26.337612,20622.35,53.33
24.217037,18961.94,42.54
21.859589,17116.059,43.8
23.502195,18402.219,44.8
22.203335,17385.21,45.05
21.276754,16659.7,47.69
22.9959,18005.79,47.44
26.019005,20372.88,54.21
26.151365,20476.52,52.21
29.039822,22738.18,50.07
35.036053,27433.23,57.86
34.95544,27370.11,53.33
35.865685,28082.83,54.58
37.25414,29169.99,55.09
36.894455,28888.36,55.85
35.44599,27754.21,52.33
34.503296,27016.082,52.21
32.12792,25156.16,50.57
28.519733,22330.951,49.07
31.033651,24299.35,47.57
32.585316,25514.3,47.06
32.15161,25174.71,51.83
31.243246,24463.46,47.94
32.124454,25153.45,49.82
33.624535,26328.01,51.08
34.8023,27250.2,47.81
31.158852,24397.38,47.56
28.472809,22294.209,47.06
27.783575,21754.54,49.19
27.070293,21196.04,45.3
26.169054,20490.37,45.56
27.345081,21411.2,48.32
29.031126,22731.371,47.81
26.759872,20952.98,50.83
23.188673,18156.73,43.42
24.084675,18858.3,47.56
